Date,GDP Growth,Inflation,IR,UR
1954:Q1,-1.911251026,1.679922604,1.06000,5.26667
1954:Q2,0.437232663,0.741325675,0.79000,5.80000
1954:Q3,4.480370504,-0.356763085,0.88333,5.96667
1954:Q4,7.762076303,0.52131571,1.02000,5.33333
1955:Q1,11.25414195,1.505253051,1.22333,4.73333
1955:Q2,6.455390282,2.233729586,1.48333,4.40000
1955:Q3,5.37461432,2.734266679,1.85667,4.10000
1955:Q4,2.393157776,2.63530365,2.33667,4.23333
1956:Q1,-1.552546301,3.920684831,2.32667,4.03333
1956:Q2,3.29028143,3.777475655,2.56667,4.20000
1956:Q3,-0.368808399,4.366769958,2.58333,4.13333
1956:Q4,6.533302368,2.462982147,3.03333,4.13333
1957:Q1,2.5596871,4.548862027,3.09667,3.93333
1957:Q2,-0.882648302,2.826506971,3.14000,4.10000
1957:Q3,3.903639821,3.058563355,3.35333,4.23333
1957:Q4,-4.158097016,2.335003335,3.31000,4.93333
1958:Q1,-10.51959984,3.340623967,1.75667,6.30000
1958:Q2,2.618375612,1.709351377,0.95667,7.36667
1958:Q3,9.14518517,0.962933708,1.68000,7.33333
1958:Q4,9.241030117,0.492914419,2.69000,6.36667
1959:Q1,7.613614678,1.867554689,2.77333,5.83333
1959:Q2,8.914017916,1.150586797,3.00000,5.10000
1959:Q3,0.287900374,1.683185896,3.54000,5.26667
1959:Q4,1.137056603,1.554909635,4.23000,5.60000
1960:Q1,8.884318575,0.750991954,3.87333,5.13333
1960:Q2,-2.153568983,1.425423548,2.99333,5.23333
1960:Q3,1.946058946,1.732646194,2.36000,5.53333
1960:Q4,-5.161203368,1.749081825,2.30667,6.26667
1961:Q1,2.687221201,0.477868762,2.35000,6.80000
1961:Q2,6.736770526,0.787237469,2.30333,7.00000
1961:Q3,7.598308013,0.833259237,2.30333,6.76667
1961:Q4,7.770653436,0.926448732,2.46000,6.20000
1962:Q1,7.074732182,1.988169774,2.72333,5.63333
